Query,Persona,Intent,Complexity,Entities,Route,Notes
what schools should i apply to for computer science near Chicago low tuition,counselor_teacher,recommendation,complex,,,needs recommendations
Carnegie Mellon admissions profile average sat and gpa,counselor_teacher,attribute_lookup,short_circuit,,,single attribute; counselor framing
schools with high internship placement rates,parent,career_outcomes,medium,,,outcomes
what essays does UC San Diego require,counselor_teacher,admissions_process,medium,,,how-to / admissions
does Columbia have mechanical engineering,advisor,attribute_lookup,short_circuit,,,single attribute
request demo for our admissions team,college_b2b,b2b_partnership,short_circuit,,,B2B
universities with strong economics,parent,filtered_search,complex,,,1–2 filters
best colleges for computer science job outcomes,high_school_student,career_outcomes,medium,,,outcomes
Harvard,high_school_student,exact_lookup,short_circuit,,,simple entity
schools good for normal people,advisor,campus_life_fit,llm_needed,,,subjective fit
Arizona State housing guarantee,parent,career_outcomes,medium,,,outcomes; parent framing
Maryland,advisor,exact_lookup,short_circuit,,,simple entity
schools on the East Coast with low student-to-faculty ratio,college_student,filtered_search,medium,,,1–2 filters
colleges where people dont care about football,advisor,campus_life_fit,llm_needed,,,subjective fit
large pre-law colleges in warm states good financial aid not too competitive,high_school_student,multi_constraint,complex,,,multi-constraint
best colleges for mechanical engineering job outcomes,college_student,career_outcomes,medium,,,outcomes
Columbia,parent,exact_lookup,complex,,,simple entity
recommend large colleges near the beach for finance target schools,counselor_teacher,recommendation,complex,,,needs recommendations
Arizona State but cheaper,parent,rewrite_needed,complex,,,needs rewrite
recommend medium-sized colleges on the East Coast for biology reach schools,advisor,recommendation,complex,,,needs recommendations; advisor framing
cheapest computer science schools in California,counselor_teacher,cost_financial_aid,medium,,,cost / aid; counselor framing
schools with strong first gen support,counselor_teacher,rewrite_needed,complex,,,needs rewrite; counselor framing
four year cost of Caltech including housing,parent,cost_financial_aid,medium,,,cost / aid; parent framing
four year cost of UCLA including housing,parent,rewrite_needed,complex,,,needs rewrite; parent framing
does Columbia have political science,counselor_teacher,attribute_lookup,medium,,,single attribute
NYU application deadlines,advisor,admissions_process,medium,,,how-to / admissions
uc san diego,college_student,exact_lookup,short_circuit,,,simple entity
how do we update our school profile data,parent,b2b_partnership,medium,,,B2B
what essays does University of Maryland require,counselor_teacher,admissions_process,medium,,,how-to / admissions
colleges in California low tuition with strong research and internships,college_student,multi_constraint,complex,,,multi-constraint
do i need sat for UC Irvine,high_school_student,admissions_process,medium,,,how-to / admissions
schools good for chill campus,parent,campus_life_fit,llm_needed,,,subjective fit
schools not Florida with low student-to-faculty ratio,college_student,filtered_search,medium,,,1–2 filters
NYU housing guarantee,parent,admissions_process,medium,,,how-to / admissions; parent framing
four year cost of Duke including housing,parent,campus_life_fit,llm_needed,,,subjective fit; parent framing
Carnegie Mellon vs University of Michigan,advisor,comparison,complex,,,compare entities; advisor framing
University of Florida,parent,exact_lookup,short_circuit,,,simple entity
colleges in Texas under 20k with strong research and internships,advisor,multi_constraint,complex,,,multi-constraint
how do i apply to Virginia Tech,counselor_teacher,admissions_process,medium,,,how-to / admissions
how do i apply to Arizona State,parent,admissions_process,medium,,,how-to / admissions
UT Austin,counselor_teacher,exact_lookup,short_circuit,,,simple entity
how do we update our school profile data,college_b2b,b2b_partnership,llm_needed,,,B2B
mit without the suffering,parent,rewrite_needed,complex,,,needs rewrite
Boston University tuition vs NYU tuition,advisor,comparison,complex,,,compare entities
what schools should i apply to for architecture not Florida under 20k,parent,recommendation,medium,,,needs recommendations
UT Austin vs Northwestern,counselor_teacher,comparison,complex,,,compare entities; counselor framing
does Virginia Tech have computer science,college_student,attribute_lookup,short_circuit,,,single attribute
four year cost of University of Florida including housing,parent,b2b_partnership,medium,,,B2B; parent framing
four year cost of University of Maryland including housing,parent,b2b_partnership,medium,,,B2B; parent framing
Princeton but cheaper,college_student,rewrite_needed,complex,,,needs rewrite
colleges near the beach under 30k with strong research and internships,high_school_student,multi_constraint,complex,,,multi-constraint
NYU job placement for computer science,high_school_student,career_outcomes,medium,,,outcomes
UC Berkeley scholarships,counselor_teacher,cost_financial_aid,medium,,,cost / aid
USC,counselor_teacher,exact_lookup,medium,,,simple entity
Princeton housing guarantee,parent,filtered_search,medium,,,1–2 filters; parent framing
create reach target safety list for neuroscience on the East Coast under 20k,advisor,attribute_lookup,short_circuit,,,single attribute; advisor framing
UCLA tuition vs Rice University tuition,college_student,comparison,complex,,,compare entities
schools like Princeton but cheaper,parent,recommendation,complex,,,needs recommendations
Penn State but cheaper,advisor,rewrite_needed,complex,,,needs rewrite
virginia tech,counselor_teacher,exact_lookup,short_circuit,,,simple entity; counselor framing
schools in warm states with low student-to-faculty ratio,advisor,filtered_search,medium,,,1–2 filters
universities with strong political science,advisor,filtered_search,medium,,,1–2 filters
how do i apply to Cornell,parent,admissions_process,short_circuit,,,how-to / admissions; parent framing
what essays does Columbia require,counselor_teacher,admissions_process,medium,,,how-to / admissions
Duke vs USC,high_school_student,comparison,complex,,,compare entities
do i need sat for Purdue,high_school_student,admissions_process,medium,,,how-to / admissions
schools good for vibe,parent,campus_life_fit,llm_needed,,,subjective fit
recommend small colleges on the East Coast for political science safety schools,parent,recommendation,short_circuit,,,needs recommendations
how do i apply to University of Florida,advisor,admissions_process,medium,,,how-to / admissions
colleges near the beach under 40k with strong research and internships,college_student,multi_constraint,complex,,,multi-constraint
affordable business schools near Chicago with good job placement,college_student,multi_constraint,complex,,,multi-constraint
how do i apply to University of Wisconsin,parent,admissions_process,medium,,,how-to / admissions; parent framing
USC,counselor_teacher,exact_lookup,llm_needed,,,simple entity
recommend medium-sized colleges near a major tech hub for aerospace engineering reach schools,parent,recommendation,complex,,,needs recommendations
schools good for sports culture,high_school_student,campus_life_fit,llm_needed,,,subjective fit
UC Irvine job placement for chemistry,advisor,career_outcomes,complex,,,outcomes
Arizona State,college_student,exact_lookup,short_circuit,,,simple entity
Arizona State,high_school_student,exact_lookup,short_circuit,,,simple entity
affordable public health schools near the beach with good job placement,advisor,multi_constraint,complex,,,multi-constraint; advisor framing
mental health counseling for Cornell,advisor,attribute_lookup,short_circuit,,,single attribute
UCLA housing,college_student,attribute_lookup,short_circuit,,,single attribute
Carnegie Mellon but cheaper,advisor,rewrite_needed,complex,,,needs rewrite
recommend small colleges in the Midwest for aerospace engineering target schools,high_school_student,recommendation,complex,,,needs recommendations
does UC San Diego have philosophy,college_student,attribute_lookup,short_circuit,,,single attribute
create reach target safety list for pre-med near Chicago under 20k,advisor,admissions_process,medium,,,how-to / admissions; advisor framing
medium-sized economics colleges on the East Coast low tuition reach schools,high_school_student,multi_constraint,complex,,,multi-constraint
how do i apply to NYU,parent,admissions_process,medium,,,how-to / admissions
cornell,college_student,exact_lookup,medium,,,simple entity
ucla vibe but not so expensive,college_student,rewrite_needed,complex,,,needs rewrite
enterprise access for counselors and districts,high_school_student,b2b_partnership,medium,,,B2B
Harvard,counselor_teacher,exact_lookup,short_circuit,,,simple entity
Stanford application deadlines,counselor_teacher,admissions_process,medium,,,how-to / admissions
average SAT for Vanderbilt,advisor,attribute_lookup,short_circuit,,,single attribute
best colleges for chemistry job outcomes,counselor_teacher,career_outcomes,medium,,,outcomes
Columbia financial aid for out of state,counselor_teacher,cost_financial_aid,medium,,,cost / aid
schools in warm states with low student-to-faculty ratio,high_school_student,filtered_search,llm_needed,,,1–2 filters
University of Wisconsin but cheaper,college_student,rewrite_needed,complex,,,needs rewrite
recommend small colleges in Texas for neuroscience not too competitive,advisor,recommendation,complex,,,needs recommendations
Georgia Tech non-competitive culture,high_school_student,campus_life_fit,llm_needed,,,subjective fit
Stanford tuition vs Northwestern tuition,college_student,comparison,complex,,,compare entities
pricing for partner colleges,college_b2b,b2b_partnership,short_circuit,,,B2B
colleges where people dont care about football,college_student,campus_life_fit,llm_needed,,,subjective fit
NYU scholarships,college_student,cost_financial_aid,medium,,,cost / aid
universities with strong architecture,parent,filtered_search,medium,,,1–2 filters; parent framing
Brown tuition vs University of Wisconsin tuition,college_student,comparison,complex,,,compare entities
MIT housing guarantee,parent,exact_lookup,short_circuit,,,simple entity; parent framing
colleges on the East Coast under 30k with strong research and internships,counselor_teacher,multi_constraint,complex,,,multi-constraint
MIT admissions profile average sat and gpa,counselor_teacher,attribute_lookup,short_circuit,,,single attribute; counselor framing
University of Michigan scholarships,counselor_teacher,cost_financial_aid,medium,,,cost / aid
best political science schools in California,parent,filtered_search,medium,,,1–2 filters
mit without the suffering,college_student,rewrite_needed,llm_needed,,,needs rewrite
what essays does UCLA require,high_school_student,admissions_process,medium,,,how-to / admissions
Columbia housing guarantee,parent,exact_lookup,short_circuit,,,simple entity; parent framing
schools good for normal people,counselor_teacher,campus_life_fit,llm_needed,,,subjective fit
does Brown have business,counselor_teacher,attribute_lookup,short_circuit,,,single attribute
schools good for sports culture,advisor,campus_life_fit,llm_needed,,,subjective fit
ucla vibe but not so expensive,parent,rewrite_needed,complex,,,needs rewrite; parent framing
Carnegie Mellon financial aid for out of state,college_student,cost_financial_aid,medium,,,cost / aid
schools like Northwestern but cheaper,college_student,recommendation,medium,,,needs recommendations
best colleges for mechanical engineering job outcomes,counselor_teacher,career_outcomes,medium,,,outcomes
request demo for our admissions team,counselor_teacher,b2b_partnership,medium,,,B2B
schools like Boston University but cheaper,college_student,recommendation,complex,,,needs recommendations
schools with strong first gen support,counselor_teacher,b2b_partnership,medium,,,B2B; counselor framing
UCLA,college_student,exact_lookup,short_circuit,,,simple entity
four year cost of University of Wisconsin including housing,parent,admissions_process,medium,,,how-to / admissions; parent framing
schools near Chicago with low student-to-faculty ratio,parent,filtered_search,medium,,,1–2 filters
Harvard vs Columbia for nursing,college_student,comparison,complex,,,compare entities
best colleges for nursing job outcomes,college_student,career_outcomes,medium,,,outcomes
colleges where people dont care about football,parent,campus_life_fit,llm_needed,,,subjective fit; parent framing
affordable business schools near Chicago with good job placement,advisor,multi_constraint,complex,,,multi-constraint
universities with strong political science,college_student,filtered_search,medium,,,1–2 filters
Boston University non-competitive culture,counselor_teacher,campus_life_fit,llm_needed,,,subjective fit; counselor framing
schools with strong first gen support,counselor_teacher,recommendation,complex,,,needs recommendations; counselor framing
Michigan,college_student,exact_lookup,llm_needed,,,simple entity
Penn State application deadlines,advisor,admissions_process,medium,,,how-to / admissions
Brown vs UC Berkeley,high_school_student,comparison,complex,,,compare entities
tuition for Duke,counselor_teacher,attribute_lookup,short_circuit,,,single attribute
four year cost of Carnegie Mellon including housing,parent,multi_constraint,llm_needed,,,multi-constraint; parent framing
affordable engineering schools near Chicago with good job placement,college_student,multi_constraint,complex,,,multi-constraint
Caltech scholarships,counselor_teacher,cost_financial_aid,complex,,,cost / aid
schools with high internship placement rates,high_school_student,career_outcomes,medium,,,outcomes
create reach target safety list for architecture in California full ride options,advisor,b2b_partnership,medium,,,B2B; advisor framing
mit,parent,exact_lookup,short_circuit,,,simple entity
universities with strong computer science,college_student,filtered_search,medium,,,1–2 filters
affordable chemistry schools in the Midwest with good job placement,college_student,multi_constraint,complex,,,multi-constraint
schools with normal people,college_student,campus_life_fit,llm_needed,,,subjective fit
schools with strong first gen support,counselor_teacher,cost_financial_aid,medium,,,cost / aid; counselor framing
NYU application deadlines,high_school_student,admissions_process,medium,,,how-to / admissions
create reach target safety list for nursing on the East Coast full ride options,advisor,campus_life_fit,llm_needed,,,subjective fit; advisor framing
Carnegie Mellon,college_student,exact_lookup,short_circuit,,,simple entity
harvard but less stressful,parent,rewrite_needed,short_circuit,,,needs rewrite
schools like Northeastern but cheaper,parent,recommendation,complex,,,needs recommendations
UT Austin application deadlines,college_student,admissions_process,medium,,,how-to / admissions
acceptance rate for MIT,high_school_student,attribute_lookup,short_circuit,,,single attribute
affordable chemistry schools in Texas with good job placement,college_student,multi_constraint,complex,,,multi-constraint
Purdue,counselor_teacher,exact_lookup,short_circuit,,,simple entity
schools good for vibe,counselor_teacher,campus_life_fit,llm_needed,,,subjective fit
what schools should i apply to for public health not Florida low tuition,counselor_teacher,recommendation,complex,,,needs recommendations
pricing for partner colleges,advisor,b2b_partnership,medium,,,B2B
colleges in warm states,high_school_student,filtered_search,medium,,,1–2 filters
schools with normal people,advisor,campus_life_fit,medium,,,subjective fit
housing for Princeton,high_school_student,attribute_lookup,short_circuit,,,single attribute
best electrical engineering schools on the East Coast,advisor,filtered_search,medium,,,1–2 filters
MIT vs University of Michigan,parent,comparison,complex,,,compare entities
schools in the Midwest with low student-to-faculty ratio,counselor_teacher,filtered_search,medium,,,1–2 filters
recommend large colleges near Chicago for philosophy target schools,college_student,recommendation,complex,,,needs recommendations
what schools should i apply to for chemistry in Texas under 40k,college_student,recommendation,complex,,,needs recommendations
schools like Brown but cheaper,advisor,recommendation,complex,,,needs recommendations
MIT,high_school_student,exact_lookup,short_circuit,,,simple entity
University of Maryland vs Princeton for biology,parent,comparison,complex,,,compare entities
Columbia scholarships,advisor,cost_financial_aid,medium,,,cost / aid; advisor framing
Brown financial aid for out of state,high_school_student,cost_financial_aid,medium,,,cost / aid
colleges on the East Coast,college_student,filtered_search,medium,,,1–2 filters
api access for college partners,college_b2b,b2b_partnership,llm_needed,,,B2B
Northeastern normal people,high_school_student,campus_life_fit,llm_needed,,,subjective fit
request demo for our admissions team,college_b2b,b2b_partnership,llm_needed,,,B2B
pricing for partner colleges,advisor,b2b_partnership,short_circuit,,,B2B
Boston University housing guarantee,parent,attribute_lookup,short_circuit,,,single attribute; parent framing
best colleges for psychology job outcomes,advisor,career_outcomes,complex,,,outcomes
clubs for University of Florida,parent,attribute_lookup,complex,,,single attribute; parent framing
what schools should i apply to for pre-law in warm states low tuition,counselor_teacher,recommendation,complex,,,needs recommendations
ucla vibe but not so expensive,counselor_teacher,rewrite_needed,complex,,,needs rewrite; counselor framing
cheapest aerospace engineering schools near a major tech hub,parent,cost_financial_aid,medium,,,cost / aid; parent framing
schools like UC Irvine but cheaper,college_student,recommendation,complex,,,needs recommendations
schools with normal people,parent,campus_life_fit,llm_needed,,,subjective fit
Rice University job placement for electrical engineering,advisor,career_outcomes,medium,,,outcomes
Arizona State housing,advisor,attribute_lookup,short_circuit,,,single attribute; advisor framing
affordable neuroscience schools in California with good job placement,counselor_teacher,multi_constraint,complex,,,multi-constraint
brown,high_school_student,exact_lookup,short_circuit,,,simple entity
how to lower college costs,advisor,cost_financial_aid,medium,,,cost / aid; advisor framing
affordable economics schools in warm states with good job placement,college_student,multi_constraint,complex,,,multi-constraint
mit without the suffering,advisor,rewrite_needed,complex,,,needs rewrite
schools good for sports culture,parent,campus_life_fit,llm_needed,,,subjective fit
colleges not Florida low tuition with strong research and internships,advisor,multi_constraint,short_circuit,,,multi-constraint
create reach target safety list for economics in California under 30k,advisor,multi_constraint,complex,,,multi-constraint; advisor framing
UC Irvine vs Brown,college_student,comparison,llm_needed,,,compare entities
schools with strong first gen support,counselor_teacher,filtered_search,medium,,,1–2 filters; counselor framing
Brown vs Northeastern,counselor_teacher,comparison,complex,,,compare entities
schools good for normal people,college_student,campus_life_fit,llm_needed,,,subjective fit
UT Austin non-competitive culture,advisor,campus_life_fit,llm_needed,,,subjective fit
request demo for our admissions team,college_b2b,b2b_partnership,complex,,,B2B
Virginia Tech tuition vs Princeton tuition,high_school_student,comparison,complex,,,compare entities
Georgia Tech,college_student,exact_lookup,short_circuit,,,simple entity
do i need sat for Cornell,counselor_teacher,admissions_process,medium,,,how-to / admissions
Purdue tuition vs University of Washington tuition,counselor_teacher,comparison,complex,,,compare entities
Princeton mental health counseling,advisor,attribute_lookup,short_circuit,,,single attribute
University of Washington vs Vanderbilt for political science,college_student,comparison,llm_needed,,,compare entities
request demo for our admissions team,advisor,b2b_partnership,medium,,,B2B
best finance schools not Florida,college_student,filtered_search,medium,,,1–2 filters
UCLA acceptance rate,college_student,attribute_lookup,short_circuit,,,single attribute
UCLA vs Columbia,counselor_teacher,comparison,complex,,,compare entities
schools good for introverts,high_school_student,campus_life_fit,llm_needed,,,subjective fit
best colleges for pre-med job outcomes,high_school_student,career_outcomes,medium,,,outcomes
api access for college partners,advisor,b2b_partnership,medium,,,B2B
Purdue tuition vs UT Austin tuition,high_school_student,comparison,complex,,,compare entities
cheapest chemistry schools near a major tech hub,college_student,cost_financial_aid,medium,,,cost / aid
create reach target safety list for philosophy on the East Coast under 40k,advisor,admissions_process,medium,,,how-to / admissions; advisor framing
what schools should i apply to for pre-law not Florida under 40k,college_student,recommendation,complex,,,needs recommendations
University of Maryland clubs,college_student,attribute_lookup,short_circuit,,,single attribute
affordable business schools in Texas with good job placement,advisor,multi_constraint,llm_needed,,,multi-constraint; advisor framing
student-to-faculty ratio for Rice University,high_school_student,attribute_lookup,short_circuit,,,single attribute
does UC Berkeley have business,advisor,attribute_lookup,short_circuit,,,single attribute; advisor framing
schools near Chicago with low student-to-faculty ratio,counselor_teacher,filtered_search,medium,,,1–2 filters
University of Florida financial aid for out of state,advisor,cost_financial_aid,medium,,,cost / aid
purdue,college_student,exact_lookup,short_circuit,,,simple entity
do i need sat for Rice University,high_school_student,admissions_process,medium,,,how-to / admissions
Stanford but cheaper,high_school_student,rewrite_needed,complex,,,needs rewrite
cheapest data science schools near a major tech hub,counselor_teacher,cost_financial_aid,medium,,,cost / aid
schools with normal people,counselor_teacher,campus_life_fit,llm_needed,,,subjective fit
recommend medium-sized colleges in California for electrical engineering reach schools,college_student,recommendation,complex,,,needs recommendations
schools with high internship placement rates,parent,career_outcomes,medium,,,outcomes; parent framing
what schools should i apply to for psychology in California under 20k,parent,recommendation,complex,,,needs recommendations
schools like Harvard but cheaper,parent,recommendation,complex,,,needs recommendations
Georgia Tech financial aid for out of state,college_student,cost_financial_aid,medium,,,cost / aid
colleges in California,college_student,filtered_search,medium,,,1–2 filters
Princeton,high_school_student,exact_lookup,short_circuit,,,simple entity
Duke application deadlines,high_school_student,admissions_process,medium,,,how-to / admissions
Columbia vs University of Maryland,high_school_student,comparison,complex,,,compare entities
location for Rice University,counselor_teacher,attribute_lookup,short_circuit,,,single attribute
Georgia Tech housing guarantee,parent,admissions_process,medium,,,how-to / admissions; parent framing
best colleges for finance job outcomes,parent,career_outcomes,llm_needed,,,outcomes
colleges near a major tech hub full ride options with strong research and internships,parent,multi_constraint,complex,,,multi-constraint
medium-sized public health colleges near a major tech hub under 40k not too competitive,counselor_teacher,multi_constraint,llm_needed,,,multi-constraint
harvard but less stressful,counselor_teacher,rewrite_needed,complex,,,needs rewrite
colleges on the East Coast low tuition with strong research and internships,high_school_student,multi_constraint,medium,,,multi-constraint
Virginia Tech financial aid,high_school_student,attribute_lookup,short_circuit,,,single attribute
cheapest aerospace engineering schools on the East Coast,college_student,cost_financial_aid,medium,,,cost / aid
schools with high internship placement rates,college_student,career_outcomes,short_circuit,,,outcomes
Brown,advisor,exact_lookup,short_circuit,,,simple entity
Cornell vs Penn State,college_student,comparison,complex,,,compare entities
how do we update our school profile data,parent,b2b_partnership,complex,,,B2B
UC Irvine housing guarantee,parent,exact_lookup,llm_needed,,,simple entity; parent framing
Northwestern vs UC San Diego,counselor_teacher,comparison,complex,,,compare entities
colleges near the beach under 30k with strong research and internships,college_student,multi_constraint,complex,,,multi-constraint
ucla vibe but not so expensive,advisor,rewrite_needed,complex,,,needs rewrite; advisor framing
Virginia Tech clubs,parent,attribute_lookup,short_circuit,,,single attribute; parent framing
University of Wisconsin housing,counselor_teacher,attribute_lookup,short_circuit,,,single attribute
what essays does NYU require,high_school_student,admissions_process,medium,,,how-to / admissions
UCLA normal people,parent,campus_life_fit,short_circuit,,,subjective fit
universities with strong nursing,advisor,filtered_search,medium,,,1–2 filters
medium-sized aerospace engineering colleges in warm states under 30k safety schools,counselor_teacher,multi_constraint,complex,,,multi-constraint
Virginia Tech acceptance rate,advisor,attribute_lookup,short_circuit,,,single attribute; advisor framing
Columbia chill campus,college_student,campus_life_fit,llm_needed,,,subjective fit
schools good for introverts,advisor,campus_life_fit,llm_needed,,,subjective fit; advisor framing
Vanderbilt,college_student,exact_lookup,short_circuit,,,simple entity
recommend large colleges near a major tech hub for pre-med target schools,college_student,recommendation,complex,,,needs recommendations
recommend large colleges in California for mechanical engineering not too competitive,parent,recommendation,complex,,,needs recommendations
uc berkeley,parent,exact_lookup,short_circuit,,,simple entity
harvard but less stressful,college_student,rewrite_needed,llm_needed,,,needs rewrite
University of Washington,college_student,exact_lookup,short_circuit,,,simple entity
do i need sat for UC Berkeley,counselor_teacher,admissions_process,medium,,,how-to / admissions
cheapest architecture schools near Chicago,high_school_student,cost_financial_aid,medium,,,cost / aid
pricing for partner colleges,college_student,b2b_partnership,medium,,,B2B
Caltech normal people,counselor_teacher,campus_life_fit,short_circuit,,,subjective fit
Virginia Tech sports culture,parent,campus_life_fit,complex,,,subjective fit
campus safety for University of Washington,advisor,attribute_lookup,short_circuit,,,single attribute
Vanderbilt admissions profile average sat and gpa,counselor_teacher,rewrite_needed,complex,,,needs rewrite; counselor framing
Brown location,high_school_student,attribute_lookup,short_circuit,,,single attribute
Arizona State job placement for engineering,counselor_teacher,career_outcomes,medium,,,outcomes
Northeastern tuition vs University of Washington tuition,college_student,comparison,complex,,,compare entities
universities with strong pre-law,college_student,filtered_search,medium,,,1–2 filters
recommend large colleges in Texas for economics not too competitive,counselor_teacher,recommendation,complex,,,needs recommendations
recommend large colleges in Texas for architecture safety schools,parent,recommendation,complex,,,needs recommendations; parent framing
does Carnegie Mellon have engineering,advisor,attribute_lookup,short_circuit,,,single attribute
does Boston University have mechanical engineering,college_student,attribute_lookup,short_circuit,,,single attribute
create reach target safety list for neuroscience near Chicago full ride options,advisor,campus_life_fit,llm_needed,,,subjective fit; advisor framing
api access for college partners,college_b2b,b2b_partnership,short_circuit,,,B2B
Princeton job placement,counselor_teacher,attribute_lookup,short_circuit,,,single attribute
create reach target safety list for neuroscience near the beach under 30k,advisor,admissions_process,medium,,,how-to / admissions; advisor framing
Brown but cheaper,parent,rewrite_needed,complex,,,needs rewrite; parent framing
how do i apply to Georgia Tech,parent,admissions_process,medium,,,how-to / admissions
colleges near a major tech hub good financial aid with strong research and internships,parent,multi_constraint,complex,,,multi-constraint; parent framing
harvard but less stressful,advisor,rewrite_needed,short_circuit,,,needs rewrite; advisor framing
Arizona State introverts,college_student,campus_life_fit,llm_needed,,,subjective fit
api access for college partners,high_school_student,b2b_partnership,medium,,,B2B
do i need sat for UT Austin,parent,admissions_process,medium,,,how-to / admissions
Princeton,college_student,exact_lookup,short_circuit,,,simple entity
Northwestern job placement for computer science,high_school_student,career_outcomes,medium,,,outcomes
student-to-faculty ratio for Rice University,college_student,attribute_lookup,short_circuit,,,single attribute
colleges near a major tech hub,counselor_teacher,filtered_search,medium,,,1–2 filters
rankings for UC Berkeley,high_school_student,attribute_lookup,short_circuit,,,single attribute
four year cost of Harvard including housing,parent,attribute_lookup,short_circuit,,,single attribute; parent framing
university of michigan,college_student,exact_lookup,short_circuit,,,simple entity
colleges in California full ride options with strong research and internships,high_school_student,multi_constraint,complex,,,multi-constraint
Brown,high_school_student,exact_lookup,llm_needed,,,simple entity
UC Irvine job placement for architecture,parent,career_outcomes,llm_needed,,,outcomes
Columbia non-competitive culture,high_school_student,campus_life_fit,llm_needed,,,subjective fit
USC vs University of Florida,college_student,comparison,complex,,,compare entities
does Virginia Tech have mechanical engineering,advisor,attribute_lookup,short_circuit,,,single attribute; advisor framing
four year cost of University of Maryland including housing,parent,recommendation,complex,,,needs recommendations; parent framing
four year cost of Caltech including housing,parent,admissions_process,complex,,,how-to / admissions; parent framing
Georgia Tech scholarships,advisor,cost_financial_aid,medium,,,cost / aid
create reach target safety list for electrical engineering in the Midwest under 40k,advisor,comparison,complex,,,compare entities; advisor framing
Columbia financial aid,advisor,attribute_lookup,short_circuit,,,single attribute
mental health counseling for Northwestern,high_school_student,attribute_lookup,short_circuit,,,single attribute
cheapest biology schools in the Midwest,counselor_teacher,cost_financial_aid,medium,,,cost / aid
what schools should i apply to for economics near Chicago good financial aid,college_student,recommendation,complex,,,needs recommendations
recommend medium-sized colleges in warm states for aerospace engineering safety schools,college_student,recommendation,complex,,,needs recommendations
four year cost of UC Irvine including housing,parent,multi_constraint,complex,,,multi-constraint; parent framing
recommend small colleges near Chicago for aerospace engineering reach schools,counselor_teacher,recommendation,complex,,,needs recommendations
Arizona State admissions profile average sat and gpa,counselor_teacher,comparison,complex,,,compare entities; counselor framing
create reach target safety list for political science near the beach full ride options,advisor,exact_lookup,short_circuit,,,simple entity; advisor framing
create reach target safety list for engineering in the Midwest under 20k,advisor,recommendation,complex,,,needs recommendations; advisor framing
large electrical engineering colleges in the Midwest under 40k safety schools,advisor,multi_constraint,llm_needed,,,multi-constraint; advisor framing
Princeton student-to-faculty ratio,high_school_student,attribute_lookup,short_circuit,,,single attribute
schools with normal people,counselor_teacher,campus_life_fit,complex,,,subjective fit
Virginia Tech admissions profile average sat and gpa,counselor_teacher,multi_constraint,medium,,,multi-constraint; counselor framing
UC San Diego housing guarantee,parent,career_outcomes,medium,,,outcomes; parent framing
georgia tech,advisor,exact_lookup,short_circuit,,,simple entity
what schools should i apply to for engineering in Texas good financial aid,counselor_teacher,recommendation,complex,,,needs recommendations
Northwestern housing guarantee,parent,rewrite_needed,complex,,,needs rewrite; parent framing
affordable pre-law schools in Texas with good job placement,parent,multi_constraint,complex,,,multi-constraint
UCLA campus safety,college_student,attribute_lookup,short_circuit,,,single attribute
NYU job placement for finance,counselor_teacher,career_outcomes,short_circuit,,,outcomes
enterprise access for counselors and districts,advisor,b2b_partnership,medium,,,B2B
Boston University housing guarantee,parent,admissions_process,medium,,,how-to / admissions; parent framing
Boston University tuition vs MIT tuition,high_school_student,comparison,complex,,,compare entities
create reach target safety list for data science in California under 40k,advisor,rewrite_needed,complex,,,needs rewrite; advisor framing
create reach target safety list for pre-med in the Midwest under 20k,advisor,attribute_lookup,short_circuit,,,single attribute; advisor framing
large computer science colleges in warm states good financial aid reach schools,parent,multi_constraint,short_circuit,,,multi-constraint
affordable psychology schools near the beach with good job placement,counselor_teacher,multi_constraint,complex,,,multi-constraint
schools with normal people,parent,campus_life_fit,medium,,,subjective fit
what schools should i apply to for data science not Florida full ride options,high_school_student,recommendation,complex,,,needs recommendations
four year cost of Carnegie Mellon including housing,parent,attribute_lookup,short_circuit,,,single attribute; parent framing
what schools should i apply to for mechanical engineering in the Midwest good financial aid,college_student,recommendation,complex,,,needs recommendations
small film colleges near a major tech hub low tuition not too competitive,college_student,multi_constraint,complex,,,multi-constraint
MIT vs Virginia Tech for film,advisor,comparison,complex,,,compare entities; advisor framing
Caltech housing guarantee,parent,admissions_process,medium,,,how-to / admissions; parent framing
enterprise access for counselors and districts,parent,b2b_partnership,medium,,,B2B; parent framing
large biology colleges near Chicago full ride options target schools,college_student,multi_constraint,complex,,,multi-constraint
schools with high internship placement rates,counselor_teacher,career_outcomes,medium,,,outcomes
Northwestern vs UC San Diego for psychology,parent,comparison,complex,,,compare entities
best business schools not Florida,high_school_student,filtered_search,medium,,,1–2 filters
UT Austin vs MIT,counselor_teacher,comparison,complex,,,compare entities; counselor framing
Princeton,parent,exact_lookup,short_circuit,,,simple entity; parent framing
does Virginia Tech have electrical engineering,advisor,attribute_lookup,complex,,,single attribute
Purdue tuition vs Cornell tuition,high_school_student,comparison,complex,,,compare entities
schools with normal people,advisor,campus_life_fit,llm_needed,,,subjective fit
large chemistry colleges near a major tech hub under 20k safety schools,high_school_student,multi_constraint,complex,,,multi-constraint
what essays does University of Wisconsin require,college_student,admissions_process,medium,,,how-to / admissions
how do i apply to Northeastern,counselor_teacher,admissions_process,medium,,,how-to / admissions
best colleges for aerospace engineering job outcomes,high_school_student,career_outcomes,llm_needed,,,outcomes
colleges in Texas,counselor_teacher,filtered_search,medium,,,1–2 filters
schools like Virginia Tech but cheaper,counselor_teacher,recommendation,complex,,,needs recommendations
